         -21          41
          -3           3
           2          30
         -26           2
           5          -3
         -10         -14
          12         -20
         -22          10
          32          14
         -15         -61
          17           5
          27          19
         -38           2
          30          14
         -29          27
          10          24
          24         -26
         -25         -43
         -22           6
          -4         -18
         -11          15
           3           7
         -37         -27
         -23          13
          52         -20
           6          22
          -5          13
           7          57
           4         -10
          10          22
          34           2
          21         -19
         -46         -20
           4         -10
         -14          18
          -5          -1
          14          -8
          12          -6
         -27          -3
           0         -16
         -13         -29
          21           3
          48          -2
          -5         -39
           5           5
         -27          41
         -21          -5
          19         -51
          32          36
           1          25
          17           5
         -49         -23
          28          30
          -9          69
          38         -28
         -26         -54
         -30         -14
           4           6
          16          -2
         -15         -51
          41           5
          22          10
          31          17
         -32           0
           5          -3
         -14           2
          -7          -5
           4          56
          16           0
         -11         -23
          10         -38
         -18           0
          11          -3
          -1           7
           2           4
          38          50
          51          47
         -26         -42
         -16          20
         -16          50
         -25         -45
          25          -1
           5         -13
          -6         -16
           8          16
           5          33
          -5         -13
           2          42
          39          19
          32          30
          30         -20
          33           9
         -24         -22
         -21           5
           7         -29
          -4         -18
          -4         -12
          18         -28
          27           9
          -1           3
          31           7
         -12          34
           9          11
          22         -28
          -3          21
          17          -5
          15          11
          -7           9
         -30         -14
          23          17
          -5          11
          12         -46
           5         -27
         -34          32
          23          -5
           1          27
         -39          19
          11          -7
           9          -1
         -15          -7
          30          26
          11          -3
         -12           6
          32           0
         -41          13
           1           7
